"","CONST_ID","OBJECTID_1","OBJECTID","REGION","REGION_NUM","CONST","CONST_NUM","AREA","GAVPrimary","ID","ID1","Area1","ID2","Population","New_Consti","WHD","NorthCent","Shape_Leng","Shape_Le_1","Shape_STAr","Shape_STLe","const_merge","Head_Count"
"1",0,110,110,"Omusati","02","Outapi","03",0,0,0,0,0,0,36306,"0","0","1",169596.672463,169761.142955,950325171.7,169761.142955,"0-outapi",0.142471222021607
"2",0,111,111,"Omusati","02","Etayi","10",0,0,0,0,0,0,30550,"0","0","1",117693.718351,117707.152048,544351184.732,117707.152048,"0-etayi",0.142471222021607
"3",0,118,118,"!Karas","13","Karasburg West","06",0,0,0,0,0,0,6974,NA,"0","0",793278.373164,793301.073791,14053105622,793301.073791,"0-karasburgwest",0.142471222021607
"4",0,119,119,"Hardap","12","Gibeon","07",0,0,0,0,0,0,6354,NA,"0","0",518611.017845,518652.205842,10156385609.9,518652.205842,"0-gibeon",0.142471222021607
"5",0,117,117,"Omusati","02","Oshikuku","07",0,0,0,0,0,0,0,"0","0","1",106850.31387,106856.603056,423995510.549,106856.603056,"0-oshikuku",0.142471222021607
"6",101,84,84,"Zambezi","07","Kabbe South","08",2099.9,19,19,398,0,96,8129,"1","0","1",236741.099056,236735.382172,1257557400.18,236735.382172,"101-kabbesouth",0.393383620689655
"7",101,85,85,"Zambezi","07","Kabbe North","07",2099.9,19,19,399,0,97,11841,"1","0","1",181402.594608,181383.477899,1182616360.87,181383.477899,"101-kabbenorth",0.393383620689655
"8",102,120,120,"Oshikoto","05","Eengondi","08",1905.2,26,26,394,0,94,13500,"0","0","1",267339.393116,267339.397104,2107766269.64,267339.397104,"102-eengondi",0.207922829056274
"9",102,121,121,"Zambezi","07","Katima Mulilo Rural","06",1905.2,26,26,394,0,94,10941,"0","0","1",234432.714117,234471.869098,1620032199.04,234471.869098,"102-katimamulilorural",0.207922829056274
"10",103,83,83,"Zambezi","07","Katima Mulilo Urban","05",31.8,27,27,397,0,95,28362,"0","0","1",32350.0010325,32350.0011988,44936888.5147,32350.0011988,"103-katimamulilourban",0.162812032325651
"11",104,86,86,"Zambezi","07","Kongola","01",5034.8,34,34,406,0,99,7366,"0","0","1",449699.059902,449708.300118,5173816594.88,449708.300118,"104-kongola",0.365774877650897
"12",105,113,113,"Zambezi","07","Linyanti","02",3733.3,35,35,414,0,100,8258,"1","0","1",260984.570828,260988.974626,1804353776.68,260988.974626,"105-linyanti",0.21359445414694
"13",105,87,87,"Zambezi","07","Judea Lyaboloma","03",3733.3,35,35,414,0,100,5511,"1","0","1",273432.03539,273432.040474,1723045981.11,273432.040474,"105-judealyaboloma",0.21359445414694
"14",106,88,88,"Zambezi","07","Sibbinda","04",1675.3,91,91,416,0,101,10182,"0","0","1",194151.002796,194151.003155,1857034697.4,194151.003155,"106-sibbinda",0.279140461215933
"15",201,96,96,"Erongo","08","Arandis","04",13499.4,3,3,110,0,109,10093,"0","0","0",793593.852781,793593.86328,13519738545.8,793593.86328,"201-arandis",0.0601601747360757
"16",202,97,97,"Erongo","08","Daures","03",17766.2,5,5,112,0,110,11350,"0","0","0",685399.484018,685399.486575,17786637708.9,685399.486575,"202-daures",0.165467625899281
"17",203,14,14,"Erongo","08","Karibib","02",14529.8,25,25,25,0,17,13320,"0","0","0",753103.837581,753119.172777,14535806991.9,753119.172777,"203-karibib",0.147393800229621
"18",204,30,30,"Erongo","08","Omaruru","01",8429.3,56,56,56,0,35,8577,"0","0","0",510497.710602,510497.71094,8431879649.49,510497.71094,"204-omaruru",0.10992671009772
"19",205,52,52,"Erongo","08","Swakopmund","05",196,94,94,94,0,60,44725,"0","0","0",63877.6105098,63877.6111507,196320653.98,63877.6111507,"205-swakopmund",0.0341083204714466
"20",206,58,58,"Erongo","08","Walvis Bay Rural","07",9140.3,101,101,101,0,67,26916,"0","0","0",583685.619336,583691.374052,9149985966.38,583691.374052,"206-walvisbayrural",0.0390443812584992
"21",207,59,59,"Erongo","08","Walvis Bay Urban","06",18.9,102,102,102,0,68,35828,"0","0","0",29766.5187205,29766.5198611,18901825.1631,29766.5198611,"207-walvisbayurban",0.0223145371892833
"22",301,103,103,"Hardap","12","Daweb","08",50340.4,15,15,472,0,119,5768,"1","0","0",1221508.59066,1220621.83889,40209889040.9,1220621.83889,"301-daweb",0.103170466883822
"23",302,90,90,"Hardap","12","Aranos","05",41798.3,37,37,428,0,103,8528,"1","0","0",874767.213572,780287.468817,26724235300,780287.468817,"302-aranos",0.0909601796047788
"24",302,116,116,"Hardap","12","Mariental Rural","04",41798.3,37,37,428,0,103,6780,"1","0","0",762066.132959,762043.590206,15036718822,762043.590206,"302-marientalrural",0.0909601796047788
"25",303,91,91,"Hardap","12","Mariental Urban","06",5914.1,38,38,430,0,104,15254,"0","0","0",362048.060144,362048.066734,4916111045.53,362048.066734,"303-marientalurban",0.127837763012182
"26",304,106,106,"Hardap","12","Rehoboth Rural","03",10951.7,84,84,434,0,122,7591,"0","0","0",765421.363608,765435.802282,12056755471.6,765435.802282,"304-rehobothrural",0.0910895660203139
"27",305,93,93,"Hardap","12","Rehoboth East Urban","02",287.7,83,83,440,0,106,18035,"0","0","0",82645.7181482,82652.0298186,287729700.278,82652.0298186,"305-rehobotheasturban",0.108876593697378
"28",306,92,92,"Hardap","12","Rehoboth West Urban","01",325.5,85,85,437,0,105,11197,"0","0","0",110962.581529,89219.2863302,325450998.28,89219.2863302,"306-rehobothwesturban",0.0498570905093441
"29",401,6,6,"!Karas","13","Berseba","02",31721.2,4,4,4,0,7,10589,"0","0","0",1374300.85082,1374336.76343,31724851480.5,1374336.76343,"401-berseba",0.185736761320031
"30",402,102,102,"!Karas","13","Karasburg East","05",38292.4,24,24,448,0,118,9496,"1","0","0",823088.660847,823098.755521,24276264891.1,823098.755521,"402-karasburgeast",0.107896790980052
"31",403,17,17,"!Karas","13","Keetmanshoop Rural","07",37857,30,30,30,0,20,7219,"0","0","0",1333789.54911,1310260.73338,37922482411.6,1310260.73338,"403-keetmanshooprural",0.150222475755847
"32",404,18,18,"!Karas","13","Keetmanshoop Urban","01",524.2,31,31,31,0,21,19447,"0","0","0",116333.510871,116333.511529,524346923.104,116333.511529,"404-keetmanshoopurban",0.0883781278962002
"33",405,99,99,"!Karas","13","!Nami?Nüs","03",48256.9,36,36,143,0,112,13859,"0","0","0",1434014.93709,1434053.49619,48270823624.6,1434053.49619,"405-naminüs",0.0806080991953568
"34",501,76,76,"Kavango West","14","Tondoro","03",8694.7,20,20,369,0,86,13221,"1","0","0",311658.708054,311658.708165,4915752037.55,311658.708165,"501-tondoro",0.181022408832485
"35",501,77,77,"Kavango West","14","Musese","04",8694.7,20,20,370,0,87,10046,"1","0","0",162989.647192,162989.647987,1422897881.12,162989.647987,"501-musese",0.181022408832485
"36",501,78,78,"Kavango West","14","Mankumpi","06",8694.7,20,20,371,0,88,5237,"1","0","0",205013.844966,205013.845029,2338623462.39,205013.845029,"501-mankumpi",0.181022408832485
"37",502,79,79,"Kavango West","14","Ncamagoro","07",6180.7,23,23,372,0,89,7043,"1","0","0",336646.764363,336644.177743,5043904361.98,336644.177743,"502-ncamagoro",0.257487568079564
