"","variable","smp_means","pop_means","diff","pvalue"
"1","areadummy_erongo",0.107345720864241,0.0951515424957084,-0.012194178368533,0.977232196068792
"2","areadummy_hardap",0.038382401346652,0.0415299701147499,0.00314756876809794,0.990950642354089
"3","areadummy_karas",0.0432783978729785,0.0449438926451347,0.00166549477215616,0.99542804757075
"4","areadummy_kavango",0.0730628711030765,0.0795020700530887,0.00643919895001224,0.986383892863337
"5","areadummy_khomas",0.206192861804637,0.19272226483359,-0.0134705969710466,0.981264672702409
"6","areadummy_kunene",0.0394236237434843,0.0399981093443507,0.00057448560086644,0.998343435908383
"7","areadummy_ohangwena",0.0890418499079802,0.0941911753647569,0.0051493254567767,0.989930128345673
"8","areadummy_omaheke",0.0359586221345859,0.0347988063087741,-0.00115981582581176,0.996467443475537
"9","areadummy_omusati",0.0974964415939883,0.10061725610005,0.00312081450606179,0.994108947105238
"10","areadummy_oshana",0.0832464953722863,0.0805591184388341,-0.00268737693345221,0.994470957258998
"11","areadummy_oshikoto",0.0760487219644881,0.0807052145571891,0.00465649259270098,0.990227597269261
"12","areadummy_otjozondjupa",0.0702209326148933,0.069470852750152,-0.000750079864741307,0.998340787676677
"13","cellphone_No",0.0665634523540422,0,-0.0665634523540422,0.790338013706352
"14","computer_Yes",0.187393551687522,0.074528356612031,-0.112865195075491,0.810873103166848
"15","electyp_Electricity",0.518173106350372,0.435473856314468,-0.0826992500359044,0.906645427248474
"16","floor_Natural___Earth_sand",0.299743538740301,0.330179375954727,0.0304358372144264,0.963031786150102
"17","floor_Natural___Other",0.0782720415806165,0.13076247134475,0.0524904297641338,0.903294734518779
"18","floor_Rudimentary___Wood_planks",0.00424859696508111,0.00704913771063086,0.00280054074554975,0.978917050315458
"19","fuelcook_Firewood",0.48579285472728,0.536744248002458,0.0509513932751775,0.942901851514804
"20","fuelligh_Candles",0.112252388320326,0.371655634261259,0.259403245940933,0.653188675011498
"21","fuelligh_Kerosene",0.0194286832530788,0.101917081858944,0.0824883986058654,0.804126741951122
"22","fuelligh_None",0.0130065416755055,0.015922328428371,0.00291578675286549,0.986222179831229
"23","heatsource_Electricity",0.310668746530353,0.279211166899776,-0.0314575796305767,0.961201983638216
"24","heatsource_Kerosene",0.0113525634138295,0,-0.0113525634138295,0.914747934895101
"25","hhsize",4.18697761131599,4.50650449997529,0.319526888659301,0.943449000653967
"26","internet_Yes",0.304708075277993,0.0376390867273825,-0.267068988550611,0.592657206578128
"27","landphone_Yes",0.0490888006225657,0.0468130635711477,-0.00227573705141797,0.993991775064065
"28","marital5_Living_together",0.133734121204455,0.0962601542173438,-0.0374739669871115,0.933690607987007
"29","roof_Finished___Concrete",0.0523722678788597,0.00409069131394122,-0.0482815765649185,0.834994565624153
"30","rooms",2.51711641452436,2.91970729212993,0.40259087760557,0.893684103651385
"31","television_No",0.574715884468576,0.259636435512529,-0.315079448956048,0.634125841688159
"32","toilet6_Flush_toilet",0.407663636996311,0.395924777686826,-0.0117388593094856,0.986530815605954
"33","wall_Finished___Cement_blocks",0.427202144399149,0.410626773832466,-0.0165753705666827,0.981050859875583
"34","wall_Finished___Other",0.315596541237794,0.205168365034043,-0.110428176203752,0.857802079954572
"35","water14_Bottled_water",0.00736813237424759,0,-0.00736813237424759,0.931370963170649
"36","water14_Tanker_truck",0.00347723389695959,0,-0.00347723389695959,0.952942775447508
"37","waterpipe_Yes__in_premise",0.361149559693669,0.49878718737042,0.137637627676751,0.842787302827895
