"","Variable","coeff","std_error"
"1","(Intercept)","10.0330***","0.0777"
"2","areadummy_karas","0.2251**","0.0955"
"3","areadummy_erongo","0.2630**","0.0926"
"4","areadummy_hardap","0.3824***","0.0964"
"5","areadummy_kavango","0.3429***","0.0848"
"6","areadummy_khomas","0.6427***","0.0884"
"7","areadummy_kunene","0.1095","0.0938"
"8","areadummy_ohangwena","0.5867***","0.0854"
"9","areadummy_omaheke","0.1381","0.0939"
"10","areadummy_omusati","0.3499***","0.0848"
"11","areadummy_oshana","0.4903***","0.0886"
"12","areadummy_oshikoto","0.4751***","0.0923"
"13","areadummy_otjozondjupa","0.2701**","0.0911"
"14","cellphone_No","-0.19***","0.0274"
"15","computer_Yes","0.4173***","0.0250"
"16","electyp_Electricity","0.0754**","0.0278"
"17","floor_Natural___Earth_sand","-0.17***","0.0222"
"18","floor_Natural___Other","-0.13***","0.0343"
"19","floor_Rudimentary___Wood_planks","0.1818","0.1069"
"20","fuelcook_Firewood","-0.21***","0.0266"
"21","fuelligh_Candles","-0.037","0.0271"
"22","fuelligh_Kerosene","0.1364**","0.0508"
"23","fuelligh_None","-0.17**","0.0632"
"24","heatsource_Electricity","0.0403","0.0255"
"25","heatsource_Kerosene","-0.15","0.1033"
"26","hhsize","-0.18***","0.0031"
"27","internet_Yes","0.1829***","0.0195"
"28","landphone_Yes","0.3312***","0.0380"
"29","marital5_Living_together","-0.18***","0.0220"
"30","roof_Finished___Concrete","0.0724**","0.0358"
"31","rooms","0.0829***","0.0051"
"32","television_No","-0.19***","0.0225"
"33","toilet6_Flush_toilet","0.1192***","0.0277"
"34","wall_Finished___Cement_blocks","0.0757**","0.0267"
"35","wall_Finished___Other","-0.028","0.0239"
"36","water14_Bottled_water","0.4691***","0.1029"
"37","water14_Tanker_truck","0.1209","0.0959"
"38","waterpipe_Yes__in_premise","0.1499***","0.0212"
